date,cash,position_value,total_value,daily_return,shares_held,year,month
2023-05-09,102217.42936664705,650.9233934691772,102868.35276011622,-0.0001803506576036895,1,2023,5
2023-05-10,102217.42936664705,661.5214316759686,102878.95079832301,0.00010302525434147114,1,2023,5
2023-05-11,102217.42936664705,655.7923361862378,102873.22170283328,-5.5687732478548746e-05,1,2023,5
2023-05-12,102217.42936664705,646.7747961359319,102864.20416278297,-8.765682556688414e-05,1,2023,5
2023-05-13,102217.42936664705,638.3246895388463,102855.75405618589,-8.21481745361119e-05,1,2023,5
2023-05-14,102217.42936664705,633.2376774418419,102850.66704408888,-4.945772984399355e-05,1,2023,5
2023-05-15,102217.42936664705,604.9198419344075,102822.34920858145,-0.0002753296242142822,1,2023,5
2023-05-16,102217.42936664705,617.5704849027778,102834.99985154983,0.0001230339810922576,1,2023,5
2023-05-17,102217.42936664705,645.1679372193065,102862.59730386635,0.00026836633788462905,1,2023,5
2023-05-18,102217.42936664705,610.6663872724237,102828.09575391946,-0.0003354139488133123,1,2023,5
2023-05-19,102217.42936664705,620.3102830071964,102837.73964965425,9.378658297687359e-05,1,2023,5
2023-05-20,102217.42936664705,626.5334980171506,102843.9628646642,6.051489493197337e-05,1,2023,5
2023-05-21,102217.42936664705,610.0254289843855,102827.45479563143,-0.00016051568388586457,1,2023,5
2023-05-22,102217.42936664705,621.0564306079978,102838.48579725504,0.00010727681284650181,1,2023,5
2023-05-23,102217.42936664705,617.1316345815749,102834.56100122862,-3.816466176054245e-05,1,2023,5
2023-05-24,102217.42936664705,611.1430856912013,102828.57245233825,-5.8234788305244756e-05,1,2023,5
2023-05-25,102217.42936664705,602.9614032892777,102820.39076993632,-7.956623540339436e-05,1,2023,5
2023-05-26,102217.42936664705,611.4393661058234,102828.86873275288,8.245410033036471e-05,1,2023,5
2023-05-27,102217.42936664705,612.1805996875064,102829.60996633455,7.208419102733288e-06,1,2023,5
2023-05-28,102217.42936664705,615.6069298939159,102833.03629654096,3.3320462924368854e-05,1,2023,5
2023-05-29,102217.42936664705,598.0918070579479,102815.521173705,-0.00017032583561427117,1,2023,5
2023-05-30,102217.42936664705,594.6715783265339,102812.10094497359,-3.326568491179849e-05,1,2023,5
2023-05-31,102217.42936664705,588.8835373706069,102806.31290401766,-5.6297273401950676e-05,1,2023,5
2023-06-01,102217.42936664705,593.0263672232738,102810.45573387032,4.0297426642688094e-05,1,2023,6
2023-06-02,102217.42936664705,575.6486747089539,102793.078041356,-0.0001690265099038024,1,2023,6
2023-06-03,102786.82356471018,0.0,102786.82356471018,-6.084530947991773e-05,0,2023,6
2023-06-04,102786.82356471018,0.0,102786.82356471018,0.0,0,2023,6
2023-06-05,102786.82356471018,0.0,102786.82356471018,0.0,0,2023,6
2023-06-06,102786.82356471018,0.0,102786.82356471018,0.0,0,2023,6
2023-06-07,102786.82356471018,0.0,102786.82356471018,0.0,0,2023,6
2023-06-08,102786.82356471018,0.0,102786.82356471018,0.0,0,2023,6
2023-06-09,102786.82356471018,0.0,102786.82356471018,0.0,0,2023,6
2023-06-10,102786.82356471018,0.0,102786.82356471018,0.0,0,2023,6
2023-06-11,102786.82356471018,0.0,102786.82356471018,0.0,0,2023,6
2023-06-12,102786.82356471018,0.0,102786.82356471018,0.0,0,2023,6
2023-06-13,102786.82356471018,0.0,102786.82356471018,0.0,0,2023,6
2023-06-14,102786.82356471018,0.0,102786.82356471018,0.0,0,2023,6
2023-06-15,102786.82356471018,0.0,102786.82356471018,0.0,0,2023,6
2023-06-16,102786.82356471018,0.0,102786.82356471018,0.0,0,2023,6
2023-06-17,102786.82356471018,0.0,102786.82356471018,0.0,0,2023,6
2023-06-18,102786.82356471018,0.0,102786.82356471018,0.0,0,2023,6
2023-06-19,102786.82356471018,0.0,102786.82356471018,0.0,0,2023,6
2023-06-20,102786.82356471018,0.0,102786.82356471018,0.0,0,2023,6
2023-06-21,102786.82356471018,0.0,102786.82356471018,0.0,0,2023,6
2023-06-22,102786.82356471018,0.0,102786.82356471018,0.0,0,2023,6
2023-06-23,102786.82356471018,0.0,102786.82356471018,0.0,0,2023,6
2023-06-24,102786.82356471018,0.0,102786.82356471018,0.0,0,2023,6
2023-06-25,102786.82356471018,0.0,102786.82356471018,0.0,0,2023,6
2023-06-26,102786.82356471018,0.0,102786.82356471018,0.0,0,2023,6
2023-06-27,102786.82356471018,0.0,102786.82356471018,0.0,0,2023,6
2023-06-28,102786.82356471018,0.0,102786.82356471018,0.0,0,2023,6
2023-06-29,102786.82356471018,0.0,102786.82356471018,0.0,0,2023,6
2023-06-30,102786.82356471018,0.0,102786.82356471018,0.0,0,2023,6
2023-07-01,102786.82356471018,0.0,102786.82356471018,0.0,0,2023,7
2023-07-02,102786.82356471018,0.0,102786.82356471018,0.0,0,2023,7
2023-07-03,102786.82356471018,0.0,102786.82356471018,0.0,0,2023,7
2023-07-04,102786.82356471018,0.0,102786.82356471018,0.0,0,2023,7
2023-07-05,102786.82356471018,0.0,102786.82356471018,0.0,0,2023,7
2023-07-06,102786.82356471018,0.0,102786.82356471018,0.0,0,2023,7
2023-07-07,102786.82356471018,0.0,102786.82356471018,0.0,0,2023,7
2023-07-08,102786.82356471018,0.0,102786.82356471018,0.0,0,2023,7
2023-07-09,102786.82356471018,0.0,102786.82356471018,0.0,0,2023,7
2023-07-10,102786.82356471018,0.0,102786.82356471018,0.0,0,2023,7
2023-07-11,102786.82356471018,0.0,102786.82356471018,0.0,0,2023,7
2023-07-12,102786.82356471018,0.0,102786.82356471018,0.0,0,2023,7
2023-07-13,102786.82356471018,0.0,102786.82356471018,0.0,0,2023,7
2023-07-14,102786.82356471018,0.0,102786.82356471018,0.0,0,2023,7
2023-07-15,102786.82356471018,0.0,102786.82356471018,0.0,0,2023,7
2023-07-16,102786.82356471018,0.0,102786.82356471018,0.0,0,2023,7
2023-07-17,102786.82356471018,0.0,102786.82356471018,0.0,0,2023,7
2023-07-18,102786.82356471018,0.0,102786.82356471018,0.0,0,2023,7
2023-07-19,102786.82356471018,0.0,102786.82356471018,0.0,0,2023,7
2023-07-20,102786.82356471018,0.0,102786.82356471018,0.0,0,2023,7
